Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Gradient Boosting_Pred
160.0,10135.257792326247,10526.346171221654,10370.888801255402,9942.5799770175,10266.000020006972
161.0,10179.616176484664,10560.10104010483,10405.00200204942,9966.064907116264,10374.000019951181
162.0,10224.097529021514,10593.99717168036,10439.257291982842,9989.755270751204,10462.000019889516
163.0,10268.702190824377,10628.035107955759,10473.655213881193,10013.65222300723,10551.00001983333
164.0,10313.430503725825,10662.215392588918,10508.196312215825,10037.7569194581,10641.000019773555
165.0,10358.28281050604,10696.538570889254,10542.881133105022,10062.070516114047,10730.000019715353
166.0,10403.259454895446,10731.005189818821,10577.710224315124,10086.594169369226,10801.0000196566
167.0,10448.360781577343,10765.615797993389,10612.684135261548,10111.329035949015,10875.000019599656
168.0,10493.587136190547,10800.370945683482,10647.803417009807,10136.276272857127,10948.000019547428
169.0,10538.938865332033,10835.27118481536,10683.068622276482,10161.437037322567,11027.000019493815
170.0,10584.416316559606,10870.317068971977,10718.480305430126,10186.812486746447,11074.000019445599
171.0,10630.019838394548,10905.509153393881,10754.039022492176,10212.403778648639,11138.000019400846
172.0,10675.749780324304,10940.84799498009,10789.745331137763,10238.212070614285,11199.000019358076
173.0,10721.606492805147,10976.334152288891,10825.599790696517,10264.238520240158,11276.000019314768
174.0,10767.590327264867,11011.96818553864,10861.602962153323,10290.484285080904,11330.000019268837
175.0,10813.70163610548,11047.750656608478,10897.755408149022,10316.950522595112,11407.00001921467
176.0,10859.940772705895,11083.682129039033,10934.05769298107,10343.638390091317,11473.000019166313
177.0,10906.308091424662,11119.763168033038,10970.510382604167,10370.549044673824,11546.0000191098
178.0,10952.803947602662,11155.994340455945,11007.114044630802,10397.683643188428,11637.0000190555
179.0,10999.428697565827,11192.376214836473,11043.869248331803,10425.043342168032,11716.000019004292
180.0,11046.182698627896,11228.9093613671,11080.776564636797,10452.629297778143,11777.000018952132
181.0,11093.066309093125,11265.594351904529,11117.836566134643,10480.442665762275,11854.000018890853
182.0,11140.079888259055,11302.43175997008,11155.04982707382,10508.484601387221,11931.000018837532
183.0,11187.223796419245,11339.422160750073,11192.416923362753,10536.756259388272,12044.000018782708
184.0,11234.498394866054,11376.566131096104,11229.93843257009,10565.258793914301,12127.000018739334
185.0,11281.904045893394,11413.864249525337,11267.614933924951,10593.993358472788,12209.000018672978
186.0,11329.441112799517,11451.317096220686,11305.447008317102,10622.96110587476,12280.000018615772
187.0,11377.10995988979,11488.925253030997,11343.435238297101,10652.163188179635,12363.00001854963
188.0,11424.910952479497,11526.68930347114,11381.58020807636,10681.60075664,12435.000018494282
189.0,11472.844456896624,11564.609832722075,11419.882503527195,10711.27496164635,12522.000018429319
190.0,11520.910840484687,11602.687427630848,11458.3427121828,10741.186952671711,12605.00001836793
191.0,11569.110471605525,11640.922676710557,11496.961423237168,10771.337878216236,12694.000018302804
192.0,11617.44371964214,11679.316170140235,11535.739227544977,10801.728885751743,12757.000018244764
193.0,11665.910955001522,11717.868499764703,11574.676717621393,10832.361121666201,12846.000018184102
194.0,11714.512549117482,11756.580259094364,11613.774487641851,10863.235731208162,12929.00001812205
195.0,11763.248874453513,11795.45204330493,11653.033133441759,10894.353858431165,13040.00001806335
196.0,11812.120304505619,11834.484449237112,11692.453252516154,10925.716646138088,13150.000018000705
197.0,11861.12721380521,11873.678075396238,11732.035444019299,10957.32523582549,13231.000017938317
198.0,11910.269977921946,11913.033521951827,11771.780308764244,10989.18076762791,13326.00001787608
199.0,11959.548973466632,11952.551390737095,11811.688449222287,11021.284380262126,13424.000017817365
200.0,12008.964578094083,11992.232285248421,11851.76046952242,11053.637210971463,13496.000017761107
201.0,12058.517170506051,12032.076810644721,11891.996975450691,11086.240395469993,13568.000017695671
202.0,12108.207130454093,12072.085573746812,11932.398574449522,11119.095067886808,13641.00001763794
203.0,12158.03483874251,12112.25918303667,11972.965875616972,11152.20236071025,13719.000017588976
204.0,12208.000677231235,12152.598248656657,12013.699489705914,11185.563404732133,13788.000017546938
205.0,12258.105028838794,12193.10338240868,12054.60002912317,11219.179328992013,13873.000017497958
206.0,12308.348277545216,12233.775197753286,12095.668107928599,11253.05126072143,13946.000017451572
207.0,12358.730808394977,12274.614309808698,12136.904341834079,11287.180325288164,13991.000017402817
208.0,12409.253007499969,12315.621335349788,12178.309348202503,11321.567646140535,14006.000017358587
209.0,12459.91526204243,12356.79689280699,12219.883746046613,11356.214344751726,14061.000017324015
210.0,12510.717960277945,12398.141602265154,12261.628156027858,11391.121540564096,14148.000017263665
211.0,12561.661491538393,12439.65608546231,12303.543200455146,11426.290350933576,14239.000017212114
212.0,12612.746246234945,12481.340965788411,12345.629503283524,11461.721891074065,14319.000017159859
213.0,12663.972615861052,12523.196868283972,12387.887690112828,11497.4172740019,14422.000017108197
214.0,12715.340992995449,12565.224419638667,12430.31838818625,11533.37761048034,14504.000017056354
215.0,12766.851771305153,12607.424248189855,12472.922226388808,11569.604008964125,14554.000017015074
216.0,12818.505345548509,12649.796983921016,12515.699835245809,11606.097575544085,14587.000016959897
217.0,12870.302111578158,12692.343258460169,12558.651846921191,11642.859413891812,14650.00001692777
218.0,12922.24246634414,12735.063705078166,12601.778895215832,11679.890625204369,14703.00001689981
219.0,12974.326807896881,12777.95895868697,12645.081615565778,11717.192308149142,14753.000016869279
220.0,13026.55553539028,12821.029655837803,12688.560645040396,11754.765558808656,14829.000016817687
221.0,13078.92904908474,12864.2764347193,12732.216622340457,11792.611470625583,14868.000016785441
222.0,13131.447750350259,12907.69993515552,12776.050187796169,11830.731134347749,14931.000016747754
223.0,13184.112041669488,12951.30079860392,12820.061983365107,11869.125637973271,14972.000016705631
224.0,13236.922326640824,12995.079668153281,12864.252652630114,11907.796066695777,15021.00001667501
225.0,13289.879009981514,13039.037188521499,12908.62284079707,11946.743502849711,15055.00001664285
226.0,13342.982497530726,13083.174006053363,12953.173194692647,11985.969025855753,15133.000016586273
227.0,13396.233196252682,13127.490768718231,12997.904362761954,12025.473712166347,15189.000016530706
228.0,13449.631514239782,13171.988126107626,13042.816995066129,12065.25863521132,15256.000016506878
229.0,13503.17786071572,13216.666729432782,13087.911743279825,12105.324865343628,15302.000016450416
230.0,13556.872646038611,13261.52723152209,13133.189260688681,12145.673469785212,15363.000016408452
231.0,13610.716281704155,13306.570286818474,13178.650202186629,12186.305512572995,15468.000016347522
232.0,13664.709180348787,13351.796551376705,13224.295224273208,12227.22205450499,15533.000016282813
233.0,13718.851755752827,13397.206682860622,13270.12498505075,12268.42415308653,15615.000016234604
234.0,13773.144422843658,13442.801340540263,13316.140144221503,12309.912862476647,15700.000016182163
235.0,13827.587597698914,13488.581185288967,13362.341363084688,12351.689233434612,15797.000016126933
236.0,13882.181697549653,13534.546879580332,13408.729304533448,12393.754313266569,15876.00001607722
237.0,13936.927140783571,13580.699087485122,13455.304633051734,12436.109145772356,15957.000016020005
238.0,13991.824346948195,13627.038474668123,13502.06801471112,12478.754771192467,16025.000015969717
239.0,14046.873736754102,13673.565708384864,13549.02011716751,12521.692226155159,16105.000015916645
240.0,14102.075732078143,13720.281457478282,13596.1616096578,12564.922543623745,16162.00001586166
241.0,14157.43075596669,13767.186392375323,13643.493162996412,12608.446752844022,16228.000015812853
242.0,14212.939232638857,13814.281185083411,13691.015449571774,12652.265879291896,16293.000015768268
243.0,14268.601587489755,13861.56650918688,13738.72914334272,12696.380944621153,16370.00001572716
244.0,14324.418247093761,13909.043039843309,13786.634919834783,12740.792966611432,16445.000015679543
245.0,14380.389639207786,13956.711453779739,13834.733456136419,12785.502959116351,16482.000015628415
246.0,14436.516192774552,14004.57242928884,13883.025430895143,12830.511932011854,16525.000015611233
247.0,14492.798337925864,14052.626646225002,13931.511524313564,12875.820891144707,16577.00001556171
248.0,14549.236505985931,14100.87478600028,13980.192418145365,12921.43083828122,16625.000015516976
249.0,14605.831129474662,14149.317531580316,14029.068795691135,12967.342771056137,16697.000015469843
250.0,14662.582642110972,14197.955567480138,14078.141341794191,13013.557682921753,16792.000015426114
251.0,14719.491478816113,14246.789579759854,14127.410742836255,13060.076563097226,16866.00001537201
252.0,14776.558075717008,14295.82025602031,14176.877686733038,13106.900396518078,16961.00001531878
253.0,14833.782870149602,14345.048285398592,14226.542862929773,13154.030163785937,17018.000015260008
254.0,14891.166300662187,14394.47435856349,14276.406962396615,13201.46684111848,17089.000015207836
255.0,14948.708807018787,14444.099167710832,14326.470677623976,13249.211400299606,17165.000015147274
256.0,15006.410830202522,14493.923406558744,14376.734702617772,13297.264808629803,17241.000015092694
