Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Simple Average_Pred
180.0,11046.182572063575,11228.90193104708,11080.776564636797,10452.629104607728,10952.122543088793
181.0,11093.06618367813,11265.58698783163,11117.836566134643,10480.442473428762,10989.23305276829
182.0,11140.079763993679,11302.424462247469,11155.04982707382,10508.484409893423,11026.509615802097
183.0,11187.22367330379,11339.414929480472,11192.416923362753,10536.756068736977,11063.952898720998
184.0,11234.498272900804,11376.558966381785,11229.93843257009,10565.258604108281,11101.563568990241
185.0,11281.903925078626,11413.857151468119,11267.614933924951,10593.993169514797,11139.342294996624
186.0,11329.4409931355,11451.310064921921,11305.447008317102,10622.960917767534,11177.289746035516
187.0,11377.10984137679,11488.91828859158,11343.435238297101,10652.163000925884,11215.406592297837
188.0,11424.910835117771,11526.682405991482,11381.58020807636,10681.60057024243,11253.69350485701
189.0,11472.84434068642,11564.603002302116,11419.882503527195,10711.274776107637,11292.151155655842
190.0,11520.910725426249,11602.680664370038,11458.3427121828,10741.186767994508,11330.780217493399
191.0,11569.110357699083,11640.915980707863,11496.961423237168,10771.337694403188,11369.581364011825
192.0,11617.443606887926,11679.30954149412,11535.739227544977,10801.728702805463,11408.555269683122
193.0,11665.91084339975,11717.861938573136,11574.676717621393,10832.360939589289,11447.702609795891
194.0,11714.512438668367,11756.573765454794,11613.774487641851,10863.235550003197,11487.024060442052
195.0,11763.248765157256,11795.445617314303,11653.033133441759,10894.353678100702,11526.520298503503
196.0,11812.120196362415,11834.478090991845,11692.453252516154,10925.71646668467,11566.19200163877
197.0,11861.12710681525,11873.671784992226,11732.035444019299,10957.325057251628,11606.0398482696
198.0,11910.26987208541,11913.027299484427,11771.780308764244,10989.180589936092,11646.064517567544
199.0,11959.548868783684,11952.545236301135,11811.688449222287,11021.284203454836,11686.266689440487
200.0,12008.964474564898,11992.226198938171,11851.76046952242,11053.637035051142,11726.647044519159
