Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Weighted Average (InvMSE)_Pred
158.0,10046.908922990071,10459.248645903957,10303.086504005518,9677.77958788598,9859.531105807037
159.0,10091.022385281558,10492.72267896294,10336.917148419912,9701.286809726424,9927.379277221064
160.0,10135.25813699975,10526.33689576732,10370.888801255402,9725.002044953324,9995.298896540822
161.0,10179.616517150098,10560.09183502713,10405.00200204942,9748.926471152692,10063.289960035489
162.0,10224.097865677813,10593.988037100355,10439.257291982842,9773.061266295797,10131.352463770661
163.0,10268.702523470503,10628.02604399413,10473.655213881193,9797.407608683403,10199.486403608265
164.0,10313.430832360762,10662.206399365967,10508.196312215825,9821.96667688986,10267.691775206296
165.0,10358.283135128797,10696.529648524893,10542.881133105022,9846.739649707022,10335.968574018698
166.0,10403.259775505063,10730.996338432566,10577.710224315124,9871.727706087971,10404.316795295195
167.0,10448.361098172878,10765.607017704368,10612.684135261548,9896.932025090622,10472.736434081056
168.0,10493.587448771086,10800.36223661041,10647.803417009807,9922.353785821137,10541.227485217021
169.0,10538.939173896695,10835.262547076547,10683.068622276482,9947.994167377201,10609.78994333905
170.0,10584.416621107524,10870.308502685313,10718.480305430126,9973.854348791163,10678.423802878187
171.0,10630.02013892489,10905.500658676845,10754.039022492176,9999.935508973014,10747.129058060398
172.0,10675.750076836262,10940.83957194972,10789.745331137763,10026.238826653242,10815.905702906368
173.0,10721.606785297936,10976.325801061805,10825.599790696517,10052.765480325557,10884.753731231387
174.0,10767.590615737736,11011.959906231006,10861.602962153323,10079.516648189474,10953.673136645128
175.0,10813.70192055769,11047.74244933603,10897.755408149022,10106.4935080928,11022.66391255154
176.0,10859.941053136754,11083.673993917044,10934.05769298107,10133.69723747399,11091.726052148633
177.0,10906.308367833492,11119.75510517633,10970.510382604167,10161.129013304379,11160.859548428329
178.0,10952.804219988811,11155.986349978873,11007.114044630802,10188.790012030331,11230.064394176314
179.0,10999.42896592868,11192.368296852925,11043.869248331803,10216.68140951528,11299.34058197186
180.0,11046.182962966857,11228.90151599049,11080.776564636797,10244.804380981666,11368.688104187679
181.0,11093.06656940763,11265.58657924779,11117.836566134643,10273.160100952786,11438.106952989738
182.0,11140.08014454856,11302.42406014566,11155.04982707382,10301.749743194556,11507.597120337132
183.0,11187.224048683249,11339.414533869915,11192.416923362753,10330.574480657202,11577.15859798189
184.0,11234.498643104067,11376.558577271666,11229.93843257009,10359.63548541686,11646.791377468855
185.0,11281.904290104969,11413.856768867558,11267.614933924951,10388.933928617122,11716.495450135471
186.0,11329.441352984224,11451.309688840001,11305.447008317102,10418.470980410488,11786.27080711171
187.0,11377.110196047233,11488.917919037314,11343.435238297101,10448.247809899802,11856.117439319834
188.0,11424.911184609311,11526.68204297385,11381.58020807636,10478.265585079582,11926.035337474286
189.0,11472.844684998472,11564.602645830031,11419.882503527195,10508.525472777339,11996.02449208154
190.0,11520.911064558251,11602.680314452367,11458.3427121828,10539.028638594831,12066.08489343991
191.0,11569.11069165053,11640.915637353413,11496.961423237168,10569.776246849282,12136.216531639428
192.0,11617.443935658339,11679.30920471164,11535.739227544977,10600.76946051456,12206.419396561703
193.0,11665.911166988688,11717.861608371326,11574.676717621393,10632.00944116234,12276.693477879735
194.0,11714.512757075427,11756.5734418423,11613.774487641851,10663.497348903224,12347.038765057807
195.0,11763.249078382069,11795.445300299705,11653.033133441759,10695.234342327849,12417.455247351294
196.0,11812.120504404658,11834.47778058367,11692.453252516154,10727.221578447985,12487.942913806548
197.0,11861.127409674627,11873.671481198942,11732.035444019299,10759.460212637616,12558.501753260736
198.0,11910.270169761676,11913.02700231445,11771.780308764244,10791.951398574012,12629.131754341708
199.0,11959.549161276627,11952.54494576281,11811.688449222287,10824.696288178822,12699.832905467816
200.0,12008.964761874337,11992.225915039788,11851.76046952242,10857.696031559153,12770.605194847847
201.0,12058.517350256581,12032.070515303692,11891.996975450691,10890.951776948657,12841.448610480767
202.0,12108.207306174958,12072.079353374726,11932.398574449522,10924.464670648656,12912.363140155681
203.0,12158.035010433785,12112.253037734232,11972.965875616972,10958.235856969257,12983.34877145165
204.0,12208.000844893042,12152.592178523942,12013.699489705914,10992.266478170523,13054.405491737534
205.0,12258.105192471277,12193.097387545122,12054.60002912317,11026.557674403666,13125.533288171884
206.0,12308.34843714855,12233.769278257672,12095.668107928599,11061.110583652253,13196.732147702785
207.0,12358.730963969378,12274.60846577916,12136.904341834079,11095.926341673485,13268.00205706773
208.0,12409.253159045675,12315.615566883798,12178.309348202503,11131.006081939498,13339.343002793468
209.0,12459.915409559719,12356.791200001346,12219.883746046613,11166.350935578743,13410.754971195893
210.0,12510.718103767118,12398.135985215982,12261.628156027858,11201.96203131738,13482.237948379867
211.0,12561.661630999792,12439.650544265049,12303.543200455146,11237.840495420767,13553.791920239137
212.0,12612.746381668945,12481.335500537813,12345.629503283524,11273.987451635016,13625.416872456168
213.0,12663.972747268057,12523.191479074087,12387.887690112828,11310.40402112859,13697.112790502013
214.0,12715.341120375899,12565.21910656284,12430.31838818625,11347.091322434007,13768.879659636208
215.0,12766.851894659521,12607.419011340717,12472.922226388808,11384.050471389604,13840.717464906613
216.0,12818.505464877293,12649.791823390482,12515.699835245809,11421.282581081394,13912.62619114927
217.0,12870.302226881904,12692.338174339422,12558.651846921191,11458.788761785025,13984.605822988346
218.0,12922.242577623423,12735.058697457653,12601.778895215832,11496.5701209078,14056.656344835917
219.0,12974.326915152305,12777.954027656397,12645.081615565778,11534.627762930852,14128.777740891896
220.0,13026.555638622485,12821.024801486128,12688.560645040396,11572.962789351366,14200.969995143887
221.0,13078.929148294406,12864.271657134715,12732.216622340457,11611.576298624947,14273.233091367096
222.0,13131.447845538092,12907.69523442545,12776.050187796169,11650.4693861081,14345.567013124135
223.0,13184.112132836239,12951.296174815026,12820.061983365107,11689.643144000805,14417.97174376497
224.0,13236.922413787277,12995.075121391435,12864.252652630114,11729.098661289258,14490.44726642677
225.0,13289.879093108477,13039.032718871786,12908.62284079707,11768.83702368868,14562.993564033795
226.0,13342.98257663905,13083.169613600068,12953.173194692647,11808.859313586341,14635.610619297253
227.0,13396.233271343259,13127.486453544829,12997.904362761954,11849.166609984648,14708.298414715218
228.0,13449.631585313535,13171.983888296792,13042.816995066129,11889.759988444412,14781.056932572483
229.0,13503.177927773602,13216.66256906636,13087.911743279825,11930.640521028261,14853.886154940456
230.0,13556.872709081621,13261.523148681094,13133.189260688681,11971.809276244201,14926.786063677038
231.0,13610.716340733328,13306.566281583082,13178.650202186629,12013.267318989332,14999.756640426544
232.0,13664.709235365182,13351.792623826257,13224.295224273208,12055.015710493723,15072.797866619514
233.0,13718.851806757553,13397.202833073594,13270.12498505075,12097.055508264464,15145.909723472685
234.0,13773.144469837858,13442.797568594278,13316.140144221503,12139.387766029893,15219.092191988815
235.0,13827.587640683767,13488.577491260774,13362.341363084688,12182.013533683967,15292.345252956608
236.0,13882.181736526374,13534.543263545791,13408.729304533448,12224.933857230844,15365.66888695059
237.0,13936.927175753415,13580.695549519223,13455.304633051734,12268.14977872965,15439.063074331016
238.0,13991.82437791245,13627.035014844956,13502.06801471112,12311.662336239398,15512.527795243734
239.0,14046.873763714098,13673.562326777614,13549.02011716751,12355.472563764157,15586.063029620129
240.0,14102.075755035254,13720.278154159221,13596.1616096578,12399.581491198354,15659.668757176949
241.0,14157.430774922323,13767.18316741581,13643.493162996412,12443.99014427234,15733.344957416255
242.0,14212.939247594444,13814.278038553868,13691.015449571774,12488.69954449812,15807.091609625304
243.0,14268.601598446785,13861.563441156806,13738.72914334272,12533.710709115307,15880.908692876434
244.0,14324.418254053762,13909.040050381233,13786.634919834783,12579.024651037285,15954.796186026984
245.0,14380.389642172315,13956.70854295325,13834.733456136419,12624.642378797616,16028.754067719176
246.0,14436.516191745206,14004.569597164575,13883.025430895143,12670.564896496628,16102.782316380006
247.0,14492.798332904287,14052.623892868607,13931.511524313564,12716.793203748257,16176.880910221198
248.0,14549.236496973801,14100.872111476436,13980.192418145365,12763.328295627125,16251.049827239058
249.0,14605.831116473702,14149.314935952703,14029.068795691135,12810.171162615847,16325.289045214367
250.0,14662.582625122941,14197.953050811446,14078.141341794191,12857.322790552556,16399.598541712356
251.0,14719.49145784281,14246.787142111767,14127.410742836255,12904.784160578714,16473.978294082543
252.0,14776.558050760283,14295.817897453491,14176.877686733038,12952.556249087129,16548.428279458665
253.0,14833.782841211327,14345.046005972687,14226.542862929773,13000.640027670255,16622.9484747586
254.0,14891.166267744287,14394.472158337105,14276.406962396615,13049.036463068725,16697.538856684256
255.0,14948.70877012323,14444.097046741539,14326.470677623976,13097.746517120162,16772.199401721493
256.0,15006.410789331312,14493.92136490306,14376.734702617772,13146.77114670824,16846.93008614005
257.0,15064.272767574173,14543.945808056194,14427.199732894522,13196.11130371202,16921.73088599342
258.0,15122.295148283309,14594.171072947993,14477.866465476427,13245.767934955544,16996.60177711879
259.0,15180.47837611947,14644.59785783299,14528.735598886296,13295.741982157733,17071.54273513697
260.0,15238.8228969761,14695.226862468086,14579.80783314242,13346.034381882528,17146.553735452257
261.0,15297.329157982706,14746.058788107317,14631.083869753293,13396.64606548934,17221.63475325243
262.0,15355.997607508314,14797.094337496545,14682.56441171232,13447.577959083752,17296.7857635086
263.0,15414.828695164906,14848.334214868048,14734.250163492325,13498.830983468579,17372.00674097516
264.0,15473.822871810855,14899.77912593498,14786.141831040031,13550.40605409513,17447.29766018972
265.0,15532.980589554376,14951.42977788577,14838.240121770436,13602.304081014847,17522.65849547298
266.0,15592.302301757012,15003.286879378398,14890.545744561045,13654.525968831182,17598.089220928727
267.0,15651.78846303709,15055.351140534598,14943.059409746058,13707.072616651833,17673.589810443675
268.0,15711.439529273204,15107.623272933903,14995.781829110398,13759.944918041241,17749.16023768748
269.0,15771.255957607726,15160.103989607645,15048.71371588368,13813.143760973415,17824.800476112574
270.0,15831.238206450289,15212.794005032827,15101.855784734063,13866.67002778509,17900.51049895419
271.0,15891.386735481312,15265.694035125882,15155.20875176199,13920.524595129165,17976.290279230194
