date,time_idx,best_model_forecast,best_ensemble_forecast,lower_bound_ci,upper_bound_ci
2025-01-05,939.0,121618.55871158933,89289.09607833945,97198.4187757369,145439.9239413595
2025-01-12,940.0,121853.58168062227,89292.04950817206,97429.29800530378,145697.63124797924
2025-01-19,941.0,122088.47037005381,89352.02545400709,97660.2837542918,145955.08849402607
2025-01-26,942.0,122323.22249762868,89352.02543731555,97891.37382002539,146212.29334333257
2025-02-02,943.0,122557.83578648482,89349.16653291564,98122.56599559417,146469.12612040588
2025-02-09,944.0,122792.30796523944,89348.78993129925,98353.85806993577,146706.6795828373
2025-02-16,945.0,123026.63676807465,89341.69902590207,98585.247827919,146911.70081719616
2025-02-23,946.0,123260.81993482272,89341.67849329564,98816.73305042721,147116.14141551478
2025-03-02,947.0,123494.85521105074,89333.87357226019,99048.31151444191,147320.16142363346
2025-03-09,948.0,123728.74034814489,89331.25142975485,99280.16900866675,147534.253245273
2025-03-16,949.0,123962.4731033941,89333.09848325953,99512.88428970423,147777.48857107366
2025-03-23,950.0,124196.05124007347,89332.26859056228,99745.68884391914,148020.4364560664
2025-03-30,951.0,124429.47252752692,89334.59866349027,99978.5804129892,148263.09487309502
2025-04-06,952.0,124662.73474124944,89334.51770367351,100211.55673498442,148505.4618056943
2025-04-13,953.0,124895.83566296897,89334.51770367351,100444.61554445414,148747.53524814735
2025-04-20,954.0,125128.7730807275,89334.51770301153,100677.75457251428,148972.54879024162
2025-04-27,955.0,125361.54478896188,89337.59273752816,100910.97154693498,149194.90845265787
2025-05-04,956.0,125594.148588584,89337.59273752816,101144.2641922284,149416.8768785761
2025-05-11,957.0,125826.5822870604,89339.51270491267,101377.63022973704,149656.68550650994
2025-05-18,958.0,126058.84369849149,89344.74667119475,101611.06737772208,149912.45144108613
2025-05-25,959.0,126290.93064369,89347.79410591607,101844.57335145217,150167.8622445014
2025-06-01,960.0,126522.84095025908,89350.9122723,102066.26286093521,150422.9157269227
2025-06-08,961.0,126754.57245266985,89355.00742166923,102284.08920361822,150677.34083089634
2025-06-15,962.0,126986.12299233816,89361.06522067862,102519.74820719179,150917.5752236481
2025-06-22,963.0,127217.49041770102,89365.19686673676,102775.83129775716,151157.49763366737
2025-06-29,964.0,127448.67258429238,89365.19686673676,103010.56526535316,151397.10615775408
2025-07-06,965.0,127679.66735481829,89369.36911957276,103243.42261126661,151636.3989040904
2025-07-13,966.0,127910.47259923157,89375.67932374634,103476.33041633884,151875.3739922878
2025-07-20,967.0,128141.08619480579,89347.10972947124,103709.28639773147,152114.02955343432
2025-07-27,968.0,128371.50602620868,89350.93148536087,103942.28827052155,152352.36373013977
2025-08-03,969.0,128601.7299855751,89381.08933344224,104174.86632388887,152590.3746765811
2025-08-10,970.0,128831.7559725791,89381.3423912421,104397.15662794269,152826.81419384677
2025-08-17,971.0,129061.58189450573,89381.65489103671,104619.40356001572,153062.88008237843
